통제ID,프로세스ID,프로세스명,위험ID,위험내용,통제명,통제목적,Key여부,통제유형,통제방법,수행주기,관련주장,통제책임부서,통제수행부서,주요증빙,사용시스템,신규통제여부,사용중여부
C0001,P01,매출,R-P01-01,매출이 허위 또는 중복 인식될 위험,매출 대사 통제 01,매출이 허위 또는 중복 인식될 위험을 예방하거나 적시에 발견한다.,Y,예방통제,IT의존수기통제,발생시,실재성,영업관리팀,재무회계팀,결재문서,그룹웨어,N,Y
C0002,P01,매출,R-P01-01,매출이 허위 또는 중복 인식될 위험,매출 검토 통제 02,매출이 허위 또는 중복 인식될 위험을 예방하거나 적시에 발견한다.,N,탐지통제,IT의존수기통제,발생시,권리와의무,영업관리팀,영업관리팀,대사표,영림원ACE,N,Y
C0003,P01,매출,R-P01-01,매출이 허위 또는 중복 인식될 위험,매출 권한 통제 03,매출이 허위 또는 중복 인식될 위험을 예방하거나 적시에 발견한다.,Y,탐지통제,자동통제,월별,기간귀속,영업관리팀,IT팀,증빙첨부,전자결재,N,Y
C0004,P01,매출,R-P01-02,매출채권 회수가능성이 적절히 평가되지 않을 위험,매출 증빙 통제 04,매출채권 회수가능성이 적절히 평가되지 않을 위험을 예방하거나 적시에 발견한다.,Y,예방통제,IT의존수기통제,월별,정확성,영업관리팀,영업관리팀,검토체크리스트,엑셀,N,Y
C0005,P01,매출,R-P01-02,매출채권 회수가능성이 적절히 평가되지 않을 위험,매출 모니터링 통제 05,매출채권 회수가능성이 적절히 평가되지 않을 위험을 예방하거나 적시에 발견한다.,Y,예방통제,수기통제,발생시,실재성,영업관리팀,영업관리팀,대사표,영림원ACE,N,Y
C0006,P01,매출,R-P01-02,매출채권 회수가능성이 적절히 평가되지 않을 위험,매출 승인 통제 06,매출채권 회수가능성이 적절히 평가되지 않을 위험을 예방하거나 적시에 발견한다.,N,탐지통제,수기통제,월별,완전성,영업관리팀,영업관리팀,시스템로그,ERP,N,Y
C0007,P01,매출,R-P01-03,매출채권 회수가능성이 적절히 평가되지 않을 위험,매출 대사 통제 07,매출채권 회수가능성이 적절히 평가되지 않을 위험을 예방하거나 적시에 발견한다.,Y,탐지통제,IT의존수기통제,월별,기간귀속,영업관리팀,영업관리팀,결재문서,엑셀,N,Y
C0008,P01,매출,R-P01-03,매출채권 회수가능성이 적절히 평가되지 않을 위험,매출 검토 통제 08,매출채권 회수가능성이 적절히 평가되지 않을 위험을 예방하거나 적시에 발견한다.,Y,탐지통제,수기통제,월별,정확성,영업관리팀,영업관리팀,검토체크리스트,그룹웨어,N,Y
C0009,P01,매출,R-P01-03,매출채권 회수가능성이 적절히 평가되지 않을 위험,매출 권한 통제 09,매출채권 회수가능성이 적절히 평가되지 않을 위험을 예방하거나 적시에 발견한다.,Y,탐지통제,수기통제,월별,표시와공시,영업관리팀,영업관리팀,보고서,ERP,N,Y
C0010,P01,매출,R-P01-04,매출채권 회수가능성이 적절히 평가되지 않을 위험,매출 증빙 통제 10,매출채권 회수가능성이 적절히 평가되지 않을 위험을 예방하거나 적시에 발견한다.,Y,예방통제,수기통제,주별,기간귀속,영업관리팀,영업관리팀,보고서,영림원ACE,N,Y
C0011,P01,매출,R-P01-04,매출이 허위 또는 중복 인식될 위험,매출 모니터링 통제 11,매출이 허위 또는 중복 인식될 위험을 예방하거나 적시에 발견한다.,Y,예방통제,IT의존수기통제,발생시,권리와의무,영업관리팀,영업관리팀,증빙첨부,엑셀,N,Y
C0012,P01,매출,R-P01-04,매출이 허위 또는 중복 인식될 위험,매출 승인 통제 12,매출이 허위 또는 중복 인식될 위험을 예방하거나 적시에 발견한다.,Y,탐지통제,IT의존수기통제,분기별,표시와공시,영업관리팀,영업관리팀,증빙첨부,영림원ACE,N,Y
C0013,P01,매출,R-P01-05,매출채권 회수가능성이 적절히 평가되지 않을 위험,매출 대사 통제 13,매출채권 회수가능성이 적절히 평가되지 않을 위험을 예방하거나 적시에 발견한다.,Y,예방통제,IT의존수기통제,분기별,표시와공시,영업관리팀,재무회계팀,결재문서,영림원ACE,N,Y
C0014,P01,매출,R-P01-05,매출채권 회수가능성이 적절히 평가되지 않을 위험,매출 검토 통제 14,매출채권 회수가능성이 적절히 평가되지 않을 위험을 예방하거나 적시에 발견한다.,N,탐지통제,IT의존수기통제,월별,완전성,영업관리팀,영업관리팀,보고서,전자결재,N,Y
C0015,P01,매출,R-P01-05,매출채권 회수가능성이 적절히 평가되지 않을 위험,매출 권한 통제 15,매출채권 회수가능성이 적절히 평가되지 않을 위험을 예방하거나 적시에 발견한다.,Y,예방통제,IT의존수기통제,월별,완전성,영업관리팀,영업관리팀,보고서,해당없음,N,Y
C0016,P01,매출,R-P01-06,매출이 허위 또는 중복 인식될 위험,매출 증빙 통제 16,매출이 허위 또는 중복 인식될 위험을 예방하거나 적시에 발견한다.,Y,탐지통제,수기통제,월별,정확성,영업관리팀,영업관리팀,대사표,해당없음,N,Y
C0017,P01,매출,R-P01-06,매출이 허위 또는 중복 인식될 위험,매출 모니터링 통제 17,매출이 허위 또는 중복 인식될 위험을 예방하거나 적시에 발견한다.,Y,탐지통제,자동통제,월별,정확성,영업관리팀,재무회계팀,증빙첨부,영림원ACE,N,Y
C0018,P01,매출,R-P01-06,매출채권 회수가능성이 적절히 평가되지 않을 위험,매출 승인 통제 18,매출채권 회수가능성이 적절히 평가되지 않을 위험을 예방하거나 적시에 발견한다.,N,예방통제,수기통제,발생시,기간귀속,영업관리팀,IT팀,대사표,ERP,N,Y
C0019,P02,구매,R-P02-01,매입채무가 누락되거나 부정확하게 기록될 위험,구매 대사 통제 01,매입채무가 누락되거나 부정확하게 기록될 위험을 예방하거나 적시에 발견한다.,N,예방통제,수기통제,월별,기간귀속,구매팀,구매팀,검토체크리스트,해당없음,N,Y
C0020,P02,구매,R-P02-01,매입채무가 누락되거나 부정확하게 기록될 위험,구매 검토 통제 02,매입채무가 누락되거나 부정확하게 기록될 위험을 예방하거나 적시에 발견한다.,Y,예방통제,IT의존수기통제,연간,정확성,구매팀,구매팀,결재문서,ERP,N,Y
C0021,P02,구매,R-P02-01,매입채무가 누락되거나 부정확하게 기록될 위험,구매 권한 통제 03,매입채무가 누락되거나 부정확하게 기록될 위험을 예방하거나 적시에 발견한다.,Y,탐지통제,수기통제,월별,권리와의무,구매팀,IT팀,검토체크리스트,전자결재,N,Y
C0022,P02,구매,R-P02-02,매입채무가 누락되거나 부정확하게 기록될 위험,구매 증빙 통제 04,매입채무가 누락되거나 부정확하게 기록될 위험을 예방하거나 적시에 발견한다.,Y,탐지통제,자동통제,월별,정확성,구매팀,구매팀,대사표,엑셀,N,Y
C0023,P02,구매,R-P02-02,매입채무가 누락되거나 부정확하게 기록될 위험,구매 모니터링 통제 05,매입채무가 누락되거나 부정확하게 기록될 위험을 예방하거나 적시에 발견한다.,N,예방통제,수기통제,분기별,권리와의무,구매팀,구매팀,시스템로그,해당없음,N,Y
C0024,P02,구매,R-P02-02,승인되지 않은 구매가 발생할 위험,구매 승인 통제 06,승인되지 않은 구매가 발생할 위험을 예방하거나 적시에 발견한다.,Y,예방통제,수기통제,발생시,실재성,구매팀,IT팀,결재문서,그룹웨어,N,Y
C0025,P02,구매,R-P02-03,매입채무가 누락되거나 부정확하게 기록될 위험,구매 대사 통제 07,매입채무가 누락되거나 부정확하게 기록될 위험을 예방하거나 적시에 발견한다.,N,탐지통제,수기통제,발생시,정확성,구매팀,구매팀,보고서,그룹웨어,N,Y
C0026,P02,구매,R-P02-03,승인되지 않은 구매가 발생할 위험,구매 검토 통제 08,승인되지 않은 구매가 발생할 위험을 예방하거나 적시에 발견한다.,N,예방통제,자동통제,발생시,기간귀속,구매팀,구매팀,대사표,영림원ACE,N,Y
C0027,P02,구매,R-P02-03,매입채무가 누락되거나 부정확하게 기록될 위험,구매 권한 통제 09,매입채무가 누락되거나 부정확하게 기록될 위험을 예방하거나 적시에 발견한다.,N,예방통제,수기통제,분기별,표시와공시,구매팀,IT팀,대사표,엑셀,N,Y
C0028,P02,구매,R-P02-04,승인되지 않은 구매가 발생할 위험,구매 증빙 통제 10,승인되지 않은 구매가 발생할 위험을 예방하거나 적시에 발견한다.,N,탐지통제,IT의존수기통제,일별,권리와의무,구매팀,구매팀,검토체크리스트,엑셀,N,Y
C0029,P02,구매,R-P02-04,승인되지 않은 구매가 발생할 위험,구매 모니터링 통제 11,승인되지 않은 구매가 발생할 위험을 예방하거나 적시에 발견한다.,N,예방통제,자동통제,발생시,정확성,구매팀,구매팀,보고서,전자결재,N,Y
C0030,P02,구매,R-P02-04,매입채무가 누락되거나 부정확하게 기록될 위험,구매 승인 통제 12,매입채무가 누락되거나 부정확하게 기록될 위험을 예방하거나 적시에 발견한다.,N,예방통제,수기통제,월별,기간귀속,구매팀,IT팀,결재문서,ERP,N,Y
C0031,P02,구매,R-P02-05,매입채무가 누락되거나 부정확하게 기록될 위험,구매 대사 통제 13,매입채무가 누락되거나 부정확하게 기록될 위험을 예방하거나 적시에 발견한다.,N,탐지통제,IT의존수기통제,분기별,권리와의무,구매팀,구매팀,증빙첨부,엑셀,Y,Y
C0032,P02,구매,R-P02-05,승인되지 않은 구매가 발생할 위험,구매 검토 통제 14,승인되지 않은 구매가 발생할 위험을 예방하거나 적시에 발견한다.,N,탐지통제,수기통제,일별,실재성,구매팀,재무회계팀,시스템로그,해당없음,N,Y
C0033,P02,구매,R-P02-05,승인되지 않은 구매가 발생할 위험,구매 권한 통제 15,승인되지 않은 구매가 발생할 위험을 예방하거나 적시에 발견한다.,Y,탐지통제,IT의존수기통제,월별,권리와의무,구매팀,구매팀,증빙첨부,그룹웨어,N,Y
C0034,P02,구매,R-P02-06,승인되지 않은 구매가 발생할 위험,구매 증빙 통제 16,승인되지 않은 구매가 발생할 위험을 예방하거나 적시에 발견한다.,Y,예방통제,IT의존수기통제,분기별,완전성,구매팀,구매팀,보고서,영림원ACE,N,Y
C0035,P02,구매,R-P02-06,매입채무가 누락되거나 부정확하게 기록될 위험,구매 모니터링 통제 17,매입채무가 누락되거나 부정확하게 기록될 위험을 예방하거나 적시에 발견한다.,N,탐지통제,수기통제,발생시,기간귀속,구매팀,구매팀,증빙첨부,영림원ACE,N,Y
C0036,P03,재고,R-P03-01,불용재고 평가가 적절하지 않을 위험,재고 대사 통제 01,불용재고 평가가 적절하지 않을 위험을 예방하거나 적시에 발견한다.,Y,탐지통제,수기통제,분기별,정확성,SCM팀,SCM팀,결재문서,엑셀,N,Y
C0037,P03,재고,R-P03-01,재고수량이 장부와 불일치할 위험,재고 검토 통제 02,재고수량이 장부와 불일치할 위험을 예방하거나 적시에 발견한다.,Y,탐지통제,수기통제,월별,권리와의무,SCM팀,재무회계팀,검토체크리스트,ERP,Y,Y
C0038,P03,재고,R-P03-01,불용재고 평가가 적절하지 않을 위험,재고 권한 통제 03,불용재고 평가가 적절하지 않을 위험을 예방하거나 적시에 발견한다.,Y,예방통제,IT의존수기통제,월별,표시와공시,SCM팀,재무회계팀,보고서,전자결재,N,Y
C0039,P03,재고,R-P03-02,불용재고 평가가 적절하지 않을 위험,재고 증빙 통제 04,불용재고 평가가 적절하지 않을 위험을 예방하거나 적시에 발견한다.,Y,탐지통제,IT의존수기통제,월별,표시와공시,SCM팀,SCM팀,보고서,ERP,N,Y
C0040,P03,재고,R-P03-02,불용재고 평가가 적절하지 않을 위험,재고 모니터링 통제 05,불용재고 평가가 적절하지 않을 위험을 예방하거나 적시에 발견한다.,N,예방통제,자동통제,주별,정확성,SCM팀,SCM팀,대사표,전자결재,N,Y
C0041,P03,재고,R-P03-02,재고수량이 장부와 불일치할 위험,재고 승인 통제 06,재고수량이 장부와 불일치할 위험을 예방하거나 적시에 발견한다.,N,탐지통제,IT의존수기통제,일별,실재성,SCM팀,SCM팀,증빙첨부,전자결재,N,Y
C0042,P03,재고,R-P03-03,재고수량이 장부와 불일치할 위험,재고 대사 통제 07,재고수량이 장부와 불일치할 위험을 예방하거나 적시에 발견한다.,N,탐지통제,수기통제,분기별,표시와공시,SCM팀,SCM팀,결재문서,엑셀,N,Y
C0043,P03,재고,R-P03-03,재고수량이 장부와 불일치할 위험,재고 검토 통제 08,재고수량이 장부와 불일치할 위험을 예방하거나 적시에 발견한다.,Y,탐지통제,IT의존수기통제,월별,기간귀속,SCM팀,IT팀,보고서,엑셀,N,Y
C0044,P03,재고,R-P03-03,불용재고 평가가 적절하지 않을 위험,재고 권한 통제 09,불용재고 평가가 적절하지 않을 위험을 예방하거나 적시에 발견한다.,Y,탐지통제,자동통제,월별,실재성,SCM팀,SCM팀,증빙첨부,영림원ACE,N,Y
C0045,P03,재고,R-P03-04,불용재고 평가가 적절하지 않을 위험,재고 증빙 통제 10,불용재고 평가가 적절하지 않을 위험을 예방하거나 적시에 발견한다.,Y,예방통제,수기통제,월별,완전성,SCM팀,SCM팀,검토체크리스트,영림원ACE,N,Y
C0046,P03,재고,R-P03-04,재고수량이 장부와 불일치할 위험,재고 모니터링 통제 11,재고수량이 장부와 불일치할 위험을 예방하거나 적시에 발견한다.,Y,예방통제,수기통제,분기별,실재성,SCM팀,재무회계팀,보고서,ERP,N,Y
C0047,P03,재고,R-P03-04,불용재고 평가가 적절하지 않을 위험,재고 승인 통제 12,불용재고 평가가 적절하지 않을 위험을 예방하거나 적시에 발견한다.,N,예방통제,IT의존수기통제,월별,권리와의무,SCM팀,IT팀,결재문서,전자결재,N,Y
C0048,P03,재고,R-P03-05,불용재고 평가가 적절하지 않을 위험,재고 대사 통제 13,불용재고 평가가 적절하지 않을 위험을 예방하거나 적시에 발견한다.,Y,예방통제,수기통제,월별,표시와공시,SCM팀,SCM팀,대사표,ERP,N,Y
C0049,P03,재고,R-P03-05,재고수량이 장부와 불일치할 위험,재고 검토 통제 14,재고수량이 장부와 불일치할 위험을 예방하거나 적시에 발견한다.,Y,탐지통제,IT의존수기통제,분기별,실재성,SCM팀,SCM팀,대사표,ERP,N,Y
C0050,P03,재고,R-P03-05,불용재고 평가가 적절하지 않을 위험,재고 권한 통제 15,불용재고 평가가 적절하지 않을 위험을 예방하거나 적시에 발견한다.,N,탐지통제,IT의존수기통제,일별,표시와공시,SCM팀,재무회계팀,시스템로그,그룹웨어,N,Y
C0051,P03,재고,R-P03-06,불용재고 평가가 적절하지 않을 위험,재고 증빙 통제 16,불용재고 평가가 적절하지 않을 위험을 예방하거나 적시에 발견한다.,Y,탐지통제,IT의존수기통제,발생시,권리와의무,SCM팀,재무회계팀,증빙첨부,전자결재,N,Y
C0052,P03,재고,R-P03-06,불용재고 평가가 적절하지 않을 위험,재고 모니터링 통제 17,불용재고 평가가 적절하지 않을 위험을 예방하거나 적시에 발견한다.,N,탐지통제,수기통제,월별,권리와의무,SCM팀,SCM팀,시스템로그,전자결재,N,Y
C0053,P03,재고,R-P03-06,재고수량이 장부와 불일치할 위험,재고 승인 통제 18,재고수량이 장부와 불일치할 위험을 예방하거나 적시에 발견한다.,Y,예방통제,수기통제,분기별,정확성,SCM팀,IT팀,대사표,전자결재,Y,Y
C0054,P04,생산,R-P04-01,생산실적과 원가배부가 부정확할 위험,생산 대사 통제 01,생산실적과 원가배부가 부정확할 위험을 예방하거나 적시에 발견한다.,N,예방통제,수기통제,월별,실재성,생산팀,생산팀,검토체크리스트,엑셀,N,Y
C0055,P04,생산,R-P04-01,생산실적과 원가배부가 부정확할 위험,생산 검토 통제 02,생산실적과 원가배부가 부정확할 위험을 예방하거나 적시에 발견한다.,Y,예방통제,수기통제,월별,표시와공시,생산팀,재무회계팀,시스템로그,ERP,N,Y
C0056,P04,생산,R-P04-01,원재료 투입량이 왜곡될 위험,생산 권한 통제 03,원재료 투입량이 왜곡될 위험을 예방하거나 적시에 발견한다.,N,예방통제,수기통제,분기별,실재성,생산팀,생산팀,증빙첨부,ERP,N,Y
C0057,P04,생산,R-P04-02,생산실적과 원가배부가 부정확할 위험,생산 증빙 통제 04,생산실적과 원가배부가 부정확할 위험을 예방하거나 적시에 발견한다.,Y,탐지통제,수기통제,분기별,완전성,생산팀,IT팀,검토체크리스트,영림원ACE,N,Y
