미비점ID,운영평가ID,통제ID,프로세스명,발견차수,발견일,미비점유형,미비점내용,중요도,반복미비점여부,근본원인,영향,개선담당부서,개선기한,현재상태,비고
I0001,OE-C0001-1차,C0001,매출,1차,2026-05-15,대사불일치,매출 대사 통제 01 수행 과정에서 대사불일치 사항이 확인됨,하,N,수행절차 미정비,결산 일정 지연 가능성,영업관리팀,2026-08-13,개선중,
I0002,OE-C0009-2차,C0009,매출,2차,2026-09-15,기한지연,매출 권한 통제 09 수행 과정에서 기한지연 사항이 확인됨,하,N,수행절차 미정비,승인 없는 거래 발생 가능성,영업관리팀,2026-12-14,개선완료,
I0003,OE-C0011-3차,C0011,매출,3차,2027-01-15,수행누락,매출 모니터링 통제 11 수행 과정에서 수행누락 사항이 확인됨,하,N,업무이해 부족,접근권한 오남용 가능성,영업관리팀,2027-04-15,개선완료,
I0004,OE-C0016-2차,C0016,매출,2차,2026-09-15,수행누락,매출 증빙 통제 16 수행 과정에서 수행누락 사항이 확인됨,하,N,담당자 변경,결산 일정 지연 가능성,영업관리팀,2026-12-14,개선완료,
I0005,OE-C0023-2차,C0023,구매,2차,2026-09-15,통제설계미흡,구매 모니터링 통제 05 수행 과정에서 통제설계미흡 사항이 확인됨,하,N,업무량 집중,접근권한 오남용 가능성,구매팀,2026-12-14,개선완료,
I0006,OE-C0031-1차,C0031,구매,1차,2026-05-15,권한충돌,구매 대사 통제 13 수행 과정에서 권한충돌 사항이 확인됨,중,N,업무량 집중,접근권한 오남용 가능성,구매팀,2026-07-14,지연,
I0007,OE-C0031-2차,C0031,구매,2차,2026-09-15,수행누락,구매 대사 통제 13 수행 과정에서 수행누락 사항이 확인됨,중,N,업무이해 부족,감사증빙 추적성 저하,구매팀,2026-11-14,개선완료,
I0008,OE-C0056-2차,C0056,생산,2차,2026-09-15,권한충돌,생산 권한 통제 03 수행 과정에서 권한충돌 사항이 확인됨,중,N,업무이해 부족,승인 없는 거래 발생 가능성,생산팀,2026-11-14,개선완료,
I0009,OE-C0056-3차,C0056,생산,3차,2027-01-15,승인미흡,생산 권한 통제 03 수행 과정에서 승인미흡 사항이 확인됨,하,N,수행절차 미정비,접근권한 오남용 가능성,생산팀,2027-04-15,지연,
I0010,OE-C0059-1차,C0059,생산,1차,2026-05-15,통제설계미흡,생산 승인 통제 06 수행 과정에서 통제설계미흡 사항이 확인됨,상,N,교육 부족,접근권한 오남용 가능성,생산팀,2026-06-14,개선완료,
I0011,OE-C0064-3차,C0064,생산,3차,2027-01-15,대사불일치,생산 모니터링 통제 11 수행 과정에서 대사불일치 사항이 확인됨,중,Y,업무이해 부족,승인 없는 거래 발생 가능성,생산팀,2027-03-16,개선중,
I0012,OE-C0065-2차,C0065,생산,2차,2026-09-15,증빙미비,생산 승인 통제 12 수행 과정에서 증빙미비 사항이 확인됨,하,N,교육 부족,접근권한 오남용 가능성,생산팀,2026-12-14,개선완료,
I0013,OE-C0075-1차,C0075,자금,1차,2026-05-15,기한지연,자금 대사 통제 07 수행 과정에서 기한지연 사항이 확인됨,중,N,시스템 제한,결산 일정 지연 가능성,재무회계팀,2026-07-14,개선완료,
I0014,OE-C0078-1차,C0078,자금,1차,2026-05-15,증빙미비,자금 증빙 통제 10 수행 과정에서 증빙미비 사항이 확인됨,상,N,시스템 제한,접근권한 오남용 가능성,재무회계팀,2026-06-14,개선완료,
I0015,OE-C0078-2차,C0078,자금,2차,2026-09-15,대사불일치,자금 증빙 통제 10 수행 과정에서 대사불일치 사항이 확인됨,중,Y,시스템 제한,결산 일정 지연 가능성,재무회계팀,2026-11-14,지연,
I0016,OE-C0083-2차,C0083,자금,2차,2026-09-15,수행누락,자금 권한 통제 15 수행 과정에서 수행누락 사항이 확인됨,하,N,업무량 집중,감사증빙 추적성 저하,재무회계팀,2026-12-14,개선완료,
I0017,OE-C0083-3차,C0083,자금,3차,2027-01-15,기한지연,자금 권한 통제 15 수행 과정에서 기한지연 사항이 확인됨,중,N,시스템 제한,승인 없는 거래 발생 가능성,재무회계팀,2027-03-16,개선중,
I0018,OE-C0085-1차,C0085,결산,1차,2026-05-15,수행누락,결산 대사 통제 01 수행 과정에서 수행누락 사항이 확인됨,중,Y,업무량 집중,결산 일정 지연 가능성,재무회계팀,2026-07-14,개선완료,
I0019,OE-C0085-2차,C0085,결산,2차,2026-09-15,통제설계미흡,결산 대사 통제 01 수행 과정에서 통제설계미흡 사항이 확인됨,중,N,검토자 부재,결산 일정 지연 가능성,재무회계팀,2026-11-14,지연,
I0020,OE-C0087-3차,C0087,결산,3차,2027-01-15,권한충돌,결산 권한 통제 03 수행 과정에서 권한충돌 사항이 확인됨,상,Y,업무량 집중,접근권한 오남용 가능성,재무회계팀,2027-02-14,개선완료,
I0021,OE-C0088-1차,C0088,결산,1차,2026-05-15,수행누락,결산 증빙 통제 04 수행 과정에서 수행누락 사항이 확인됨,중,N,수행절차 미정비,재무정보 오류 가능성 증가,재무회계팀,2026-07-14,개선완료,
I0022,OE-C0092-1차,C0092,결산,1차,2026-05-15,대사불일치,결산 검토 통제 08 수행 과정에서 대사불일치 사항이 확인됨,중,N,업무량 집중,감사증빙 추적성 저하,재무회계팀,2026-07-14,개선완료,
I0023,OE-C0100-2차,C0100,결산,2차,2026-09-15,수행누락,결산 증빙 통제 16 수행 과정에서 수행누락 사항이 확인됨,상,N,검토자 부재,접근권한 오남용 가능성,재무회계팀,2026-10-15,지연,
I0024,OE-C0108-2차,C0108,인사급여,2차,2026-09-15,통제설계미흡,인사급여 증빙 통제 04 수행 과정에서 통제설계미흡 사항이 확인됨,하,N,검토자 부재,감사증빙 추적성 저하,인사총무팀,2026-12-14,개선완료,
I0025,OE-C0112-2차,C0112,인사급여,2차,2026-09-15,수행누락,인사급여 검토 통제 08 수행 과정에서 수행누락 사항이 확인됨,중,N,업무이해 부족,감사증빙 추적성 저하,인사총무팀,2026-11-14,개선중,
I0026,OE-C0113-2차,C0113,인사급여,2차,2026-09-15,기한지연,인사급여 권한 통제 09 수행 과정에서 기한지연 사항이 확인됨,하,N,수행절차 미정비,감사증빙 추적성 저하,인사총무팀,2026-12-14,개선완료,
I0027,OE-C0135-3차,C0135,세무,3차,2027-01-15,대사불일치,세무 모니터링 통제 05 수행 과정에서 대사불일치 사항이 확인됨,하,N,검토자 부재,승인 없는 거래 발생 가능성,재무회계팀,2027-04-15,개선완료,
I0028,OE-C0141-2차,C0141,전산일반통제,2차,2026-09-15,승인미흡,전산일반통제 대사 통제 01 수행 과정에서 승인미흡 사항이 확인됨,중,N,담당자 변경,결산 일정 지연 가능성,IT팀,2026-11-14,개선완료,
I0029,OE-C0145-1차,C0145,전산일반통제,1차,2026-05-15,수행누락,전산일반통제 모니터링 통제 05 수행 과정에서 수행누락 사항이 확인됨,하,N,시스템 제한,접근권한 오남용 가능성,IT팀,2026-08-13,개선중,
I0030,OE-C0146-2차,C0146,전산일반통제,2차,2026-09-15,대사불일치,전산일반통제 승인 통제 06 수행 과정에서 대사불일치 사항이 확인됨,하,N,업무량 집중,감사증빙 추적성 저하,IT팀,2026-12-14,개선중,
I0031,OE-C0148-1차,C0148,전산일반통제,1차,2026-05-15,통제설계미흡,전산일반통제 검토 통제 08 수행 과정에서 통제설계미흡 사항이 확인됨,중,N,담당자 변경,재무정보 오류 가능성 증가,IT팀,2026-07-14,개선완료,
I0032,OE-C0158-2차,C0158,전산일반통제,2차,2026-09-15,권한충돌,전산일반통제 승인 통제 18 수행 과정에서 권한충돌 사항이 확인됨,하,N,검토자 부재,결산 일정 지연 가능성,IT팀,2026-12-14,개선완료,
I0033,OE-C0160-1차,C0160,법인카드,1차,2026-05-15,통제설계미흡,법인카드 검토 통제 02 수행 과정에서 통제설계미흡 사항이 확인됨,하,Y,담당자 변경,감사증빙 추적성 저하,재무회계팀,2026-08-13,개선완료,
I0034,OE-C0160-2차,C0160,법인카드,2차,2026-09-15,대사불일치,법인카드 검토 통제 02 수행 과정에서 대사불일치 사항이 확인됨,하,N,교육 부족,승인 없는 거래 발생 가능성,재무회계팀,2026-12-14,개선중,
